issue,draw_date,sales_amount,one,two,three
2004154,2004-06-09,0,3,1,3
2004153,2004-06-08,0,8,5,0
2004152,2004-06-07,0,8,3,3
2004151,2004-06-06,0,2,8,9
2004150,2004-06-05,0,7,6,8
2004149,2004-06-04,0,7,4,3
2004148,2004-06-03,0,9,1,6
2004147,2004-06-02,0,1,6,1
2004146,2004-06-01,0,8,4,6
2004145,2004-05-31,0,4,4,5
2004144,2004-05-30,0,4,8,4
2004143,2004-05-29,0,9,1,9
2004142,2004-05-28,0,6,2,6
2004141,2004-05-27,0,3,6,0
2004140,2004-05-26,0,1,1,6
2004139,2004-05-25,0,5,6,2
2004138,2004-05-24,0,7,2,3
2004137,2004-05-23,0,5,7,3
2004136,2004-05-22,0,3,2,7
2004135,2004-05-21,0,9,9,2
2004134,2004-05-20,0,5,4,3
2004133,2004-05-19,0,3,0,2
2004132,2004-05-18,0,6,6,5
2004131,2004-05-17,0,9,7,1
2004130,2004-05-16,0,1,8,5
2004129,2004-05-15,0,2,7,5
2004128,2004-05-14,0,1,0,5
2004127,2004-05-13,0,7,5,3
2004126,2004-05-12,0,0,6,2
2004125,2004-05-11,0,4,9,4
2004124,2004-05-10,0,5,7,9
2004123,2004-05-09,0,9,5,0
2004122,2004-05-08,0,3,1,3
2004121,2004-05-07,0,3,9,3
2004120,2004-05-06,0,9,8,2
2004119,2004-05-05,0,1,7,3
2004118,2004-05-04,0,8,2,9
2004117,2004-05-03,0,0,4,8
2004116,2004-05-02,0,3,3,8
2004115,2004-05-01,0,6,9,8
2004114,2004-04-30,0,5,9,9
2004113,2004-04-29,0,1,3,1
2004112,2004-04-28,0,1,0,5
2004111,2004-04-27,0,6,3,1
2004110,2004-04-26,0,6,2,8
2004109,2004-04-25,0,5,5,0
2004108,2004-04-24,0,0,3,3
2004107,2004-04-23,0,2,5,1
2004106,2004-04-22,0,6,1,9
2004105,2004-04-21,0,3,1,0
2004104,2004-04-20,0,0,6,9
2004103,2004-04-19,0,2,2,3
2004102,2004-04-18,0,1,2,5
2004101,2004-04-17,0,4,9,9
2004100,2004-04-16,0,6,9,9
2004099,2004-04-15,0,9,2,0
2004098,2004-04-14,0,5,5,4
2004097,2004-04-13,0,3,7,5
2004096,2004-04-12,0,9,6,4
2004095,2004-04-11,0,8,1,9
2004094,2004-04-10,0,2,1,7
2004093,2004-04-09,0,7,3,3
2004092,2004-04-08,0,0,3,3
2004091,2004-04-07,0,0,1,8
2004090,2004-04-06,0,2,6,3
2004089,2004-04-05,0,1,9,1
2004088,2004-04-04,0,2,1,7
2004087,2004-04-03,0,1,6,3
2004086,2004-04-02,0,7,3,7
2004085,2004-04-01,0,2,6,9
2004084,2004-03-31,0,1,7,0
2004083,2004-03-30,0,0,4,4
2004082,2004-03-29,0,1,6,5
2004081,2004-03-28,0,9,8,4
2004080,2004-03-27,0,0,9,3
2004079,2004-03-26,0,8,7,9
2004078,2004-03-25,0,8,6,0
2004077,2004-03-24,0,9,3,6
2004076,2004-03-23,0,9,0,5
2004075,2004-03-22,0,6,8,2
2004074,2004-03-21,0,3,2,7
2004073,2004-03-20,0,6,0,8
2004072,2004-03-19,0,3,2,3
2004071,2004-03-18,0,5,7,0
2004070,2004-03-17,0,6,0,5
2004069,2004-03-16,0,4,9,2
2004068,2004-03-15,0,0,1,2
2004067,2004-03-14,0,4,1,4
2004066,2004-03-13,0,3,6,6
2004065,2004-03-12,0,6,0,8
2004064,2004-03-11,0,8,2,9
2004063,2004-03-10,0,7,2,3
2004062,2004-03-09,0,0,4,1
2004061,2004-03-08,0,4,5,9
2004060,2004-03-07,0,5,3,2
2004059,2004-03-06,0,8,3,9
2004058,2004-03-05,0,4,3,4
2004057,2004-03-04,0,2,0,9
2004056,2004-03-03,0,7,4,4
2004055,2004-03-02,0,1,6,2
2004054,2004-03-01,0,8,4,8
2004053,2004-02-29,0,8,3,4
2004052,2004-02-28,0,1,1,0
2004051,2004-02-27,0,3,0,2
2004050,2004-02-26,0,8,5,6
2004049,2004-02-25,0,9,9,9
2004048,2004-02-24,0,6,4,6
2004047,2004-02-23,0,2,1,3
2004046,2004-02-22,0,1,5,7
2004045,2004-02-21,0,1,7,3
2004044,2004-02-20,0,3,2,5
2004043,2004-02-19,0,7,4,0
2004042,2004-02-18,0,9,6,6
2004041,2004-02-17,0,8,3,1
2004040,2004-02-16,0,1,5,3
2004039,2004-02-15,0,0,7,2
2004038,2004-02-14,0,4,3,7
2004037,2004-02-13,0,7,9,2
2004036,2004-02-12,0,4,3,5
2004035,2004-02-11,0,0,6,7
2004034,2004-02-10,0,2,1,9
2004033,2004-02-09,0,0,2,8
2004032,2004-02-08,0,9,9,1
2004031,2004-02-07,0,6,8,9
2004030,2004-02-06,0,3,5,0
2004029,2004-02-05,0,9,7,4
2004028,2004-02-04,0,4,3,5
2004027,2004-02-03,0,5,4,1
2004026,2004-02-02,0,4,2,6
2004025,2004-02-01,0,9,8,5
2004024,2004-01-31,0,5,8,4
2004023,2004-01-30,0,6,4,2
2004022,2004-01-29,0,6,6,5
2004021,2004-01-21,0,0,8,4
2004020,2004-01-20,0,8,0,2
2004019,2004-01-19,0,7,6,1
2004018,2004-01-18,0,7,3,4
2004017,2004-01-17,0,6,4,0
2004016,2004-01-16,0,5,7,9
2004015,2004-01-15,0,1,3,5
2004014,2004-01-14,0,0,2,1
2004013,2004-01-13,0,7,3,8
2004012,2004-01-12,0,5,8,1
2004011,2004-01-11,0,2,1,2
2004010,2004-01-10,0,7,7,6
2004009,2004-01-09,0,0,8,7
2004008,2004-01-08,0,5,5,2
2004007,2004-01-07,0,1,3,2
2004006,2004-01-06,0,8,3,7
2004005,2004-01-05,0,3,9,2
2004004,2004-01-04,0,2,7,9
2004003,2004-01-03,0,6,7,0
2004002,2004-01-02,0,0,2,1
2004001,2004-01-01,0,1,0,1
2005358,2005-12-31,0,8,4,2
2005357,2005-12-30,0,4,2,9
2005356,2005-12-29,0,6,8,1
2005355,2005-12-28,0,4,6,8
2005354,2005-12-27,0,7,2,6
2005353,2005-12-26,0,5,3,6
2005352,2005-12-25,0,5,4,0
2005351,2005-12-24,0,1,7,3
2005350,2005-12-23,0,9,6,9
2005349,2005-12-22,0,0,1,4
2005348,2005-12-21,0,0,3,8
